id,legal_name,display_name,aliases,cin,sector,sub_sector,listed,bse_code,nse_symbol,isins,priority_tier
301,Small Industries Development Bank of India,Small Industries Development Bank of India,,,Bank,bank,,,,,2
302,Yes Securities (India) Limited,Yes Securities (India),,,Capital Markets,securities_broking,,,,,2
303,Kogta Financial (India) Limited,Kogta Financial (India),,,NBFC,other_finance,,,,,2
304,Yes Bank Limited,Yes Bank,,,Bank,bank,,,,,2
305,Jio Credit Limited,Jio Credit,,,NBFC,other_finance,,,,,2
306,Jio Leasing Services Limited,Jio Leasing Services,,,NBFC,other_finance,,,,,2
307,Vistaar Financial Services Private Limited,Vistaar Financial Services,,,NBFC,other_finance,,,,,2
308,DCB Bank,DCB Bank,,,Bank,bank,,,,,2
309,Mahindra And Mahindra Financial Services Limited,Mahindra And Mahindra Financial Services,,,NBFC,other_finance,,,,,2
310,Mahindra Rural Housing Finance Limited,Mahindra Rural Housing Finance,,,HFC,housing_finance,,,,,2
311,KISETSU Saison Finance (India) Private Limited,KISETSU Saison Finance (India),,,NBFC,other_finance,,,,,2
312,Indostar Capital Finance Limited,Indostar Capital Finance,,,NBFC,other_finance,,,,,2
313,IKF Finance Limited,IKF Finance,,,NBFC,other_finance,,,,,2
314,Aadhar Housing Finance Limited,Aadhar Housing Finance,,,HFC,housing_finance,,,,,2
315,Aptus Finance India Private Limited,Aptus Finance India,,,NBFC,other_finance,,,,,2
316,Aptus Value Housing Finance India Limited,Aptus Value Housing Finance India,,,HFC,housing_finance,,,,,2
317,Indian Railway Finance,Indian Railway Finance,,,NBFC,other_finance,,,,,2
318,Mahaveer Finance India Limited,Mahaveer Finance India,,,NBFC,other_finance,,,,,2
319,Veritas Finance Limited,Veritas Finance,,,NBFC,other_finance,,,,,2
320,Five-Star Business Finance Limited,Five-Star Business Finance,,,NBFC,other_finance,,,,,2
321,Piramal Finance Limited,Piramal Finance,Piramal Capital & Housing Finance Limited;Piramal Finance Limited (erstwhile Piramal Capital & Housing Finance Limited),,NBFC,other_finance,,,,,2
322,RBL Bank Limited,RBL Bank,,,Bank,bank,,,,,2
323,Abhiyan Capital (India) Private Limited,Abhiyan Capital (India),,,NBFC,other_finance,,,,,2
324,Svakarma Finance Private Limited,Svakarma Finance,,,NBFC,other_finance,,,,,2
325,Shriram Insight Share Brokers Limited,Shriram Insight Share Brokers,,,Capital Markets,securities_broking,,,,,2
326,Shriram Credit Company Limited,Shriram Credit Company,,,NBFC,other_finance,,,,,2
327,The South Indian Bank Limited,The South Indian Bank,,,Bank,bank,,,,,2
328,Edelweiss Asset Management Limited,Edelweiss Asset Management,,,Asset Management,mutual_fund,,,,,2
329,Mahindra Manulife Investment Management Private Limited,Mahindra Manulife Investment Management,,,Asset Management,mutual_fund,,,,,2
330,Ambit Finvest Private Limited,Ambit Finvest,,,NBFC,other_finance,,,,,2
331,Belstar Microfinance Limited,Belstar Microfinance,,,NBFC,MFI,,,,,2
332,Indian Overseas Bank,Indian Overseas Bank,,,Bank,bank,,,,,2
333,Dar Credit & Capital Limited,Dar Credit & Capital,,,NBFC,other_finance,,,,,2
334,GrowXCD Finance Private Limited,GrowXCD Finance,,,NBFC,other_finance,,,,,2
335,India Shelter Finance,India Shelter Finance,,,HFC,housing_finance,,,,,2
336,Indian Renewable Energy Development Agency Limited (IREDA),Indian Renewable Energy Development Agency Limited (IREDA),,,NBFC,other_finance,,,,,2
337,S V Creditline Limited,S V Creditline,,,NBFC,other_finance,,,,,2
338,Save Microfinance Private Limited,Save Microfinance,,,NBFC,MFI,,,,,2
339,Save Solutions Private Limited,Save Solutions,,,NBFC,other_finance,,,,,2
340,Solfin Sustainable Finance Private Limited,Solfin Sustainable Finance,,,NBFC,other_finance,,,,,2
341,Ummeed Housing Finance Private Limited,Ummeed Housing Finance,,,HFC,housing_finance,,,,,2
342,Niva Bupa Health Insurance Company Limited,Niva Bupa Health Insurance Company,,,Insurance,insurance,,,,,2
343,Axis Mutual Fund,Axis Mutual Fund,,,Asset Management,mutual_fund,,,,,2
344,Jio BlackRock Asset Management Private Limited,Jio BlackRock Asset Management,,,Asset Management,mutual_fund,,,,,2
345,LIC Mutual Fund,LIC Mutual Fund,,,Asset Management,mutual_fund,,,,,2
346,Bajaj Finserv Asset Management Limited,Bajaj Finserv Asset Management,,,Asset Management,mutual_fund,,,,,2
347,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Mutual Fund,,,Asset Management,mutual_fund,,,,,2
348,Canara Robeco Mutual Fund,Canara Robeco Mutual Fund,,,Asset Management,mutual_fund,,,,,2
349,SBI Funds Management Limited,SBI Funds Management,,,Asset Management,mutual_fund,,,,,2
350,Arvesta Financial Services Private Limited,Arvesta Financial Services,,,NBFC,other_finance,,,,,2
351,Kotak Mahindra Mutual Fund,Kotak Mahindra Mutual Fund,,,Asset Management,mutual_fund,,,,,2
352,Sundaram Asset Management Company Limited,Sundaram Asset Management Company,,,Asset Management,mutual_fund,,,,,2
353,UTI Asset Management Company Limited,UTI Asset Management Company,,,Asset Management,mutual_fund,,,,,2
354,Vivriti Capital Limited,Vivriti Capital,,,NBFC,other_finance,,,,,2
355,Golden Legand Leasing and Finance Limited,Golden Legand Leasing and Finance,,,NBFC,other_finance,,,,,2
356,Bhansali,Bhansali,,,NBFC,other_finance,,,,,2
